lemma	pos	match	ids	headwords	parts
грех	n.m	none			
грехо́вный	adj	none			
гре́шный	adj/n	none			
гро́зный	adj	none			
да	conj/part	exact	0994-3-01;0994-3-02	Да;Да	supplement;supplement
да́ти, дая́ти	v	exact	0173-2-10	Дати	main
дар	n.m	exact	0173-2-07	Даръ	main
дарова́ти	v	none			
дарова́ние	n.n	exact	0173-1-07	Дарованіє	main
дарова́тися	v	none			
де́ва	n.f	none			
де́вство	n.n	none			
де́вствовати	v	none			
де́ло	n.n	exact	0200-1-03;0654-1-02;1010-2-07	Дѣло;Слово и дѣло;Дѣло	main;main;supplement
де́мон	n.m	exact	0177-1-12	Демонъ	main
де́монский	adj	exact	0177-1-10	Демонскій	main
день	n.m	exact	0177-2-02	День	main
держа́вный	adj	exact	0178-2-06	Державный	main
держа́ти	v	exact	0999-2-04	Держати	supplement
дерза́ти	v	none			
дерзнове́ние	n.n	none			
ди́вный	adj	exact	0180-2-15	Дивный	main
диви́тися	v	none			
длань	n.f	exact	0183-1-13;1001-1-15	Длань;Длань	main;supplement
до	prep	none			
до́брый	adj	none			
дом	n.m	exact	0187-1-14;1003-2-08	Домъ;Домъ	main;supplement
достоя́ние	n.n	none			
дре́вле	adv	none			
дре́вний	adj	none			
дух	n.m	none			
душе́вно	adv	none			
душе́вный	adj	exact	0197-1-02;1008-1-09	Душевный;Душевный	main;supplement
душевре́дный	adj	none			
душепа́губный	adj	exact	0197-1-06	Душепагубный	main
душеполе́зный	adj	none			
душа́	n.f	exact	0196-1-02	Душа	main
егда́	conj	exact	0204-1-04	Єгда	main
еди́ный	adj/num	none			
е́же	conj	exact	0207-2-08	Єже	main
еле́й	n.m	none			
Ермоге́н	n.prop	none			
е́ресь	n.f	exact	1013-2-02	Єресь	supplement
естество́	n.n	none			
же	part	none			
жена́	n.f	none			
живоно́сный	adj	exact	0220-2-18	Живоносный	main
живо́т	n.m	exact	0221-1-22;0221-2-02;1016-2-08	Животъ;Животъ;Животъ	main;main;supplement
живо́тный	adj	exact	0221-1-14	Животный	main
жизнь	n.f	exact	0222-1-14	Жизнь	main
жили́ще	n.n	none			
житие́	n.n	none			
за	prep	exact	0226-1-02;1018-3-01	За;За	main;supplement
заблужде́ние	n.n	none			
забра́ло	n.n	exact	1018-3-06	Забрало	supplement
заступа́ти	v	none			
заступле́ние	n.n	exact	1022-2-14	Заступленіе	supplement
Засту́пница	n.f	none			
зача́ти	v	none			
защища́ти	v	none			
защище́ние	n.n	none			
звезда́	n.f	exact	0235-1-03;1024-2-02;1024-2-03	Звѣзда;Звѣзда;Звѣзда	main;supplement;supplement
здра́вие	n.n	none			
земля́	n.f	none			
земны́й	adj	none			
злове́рие	n.n	exact	0240-2-03	Зловѣріє	main
злый	adj	exact	0242-1-14	Злый	main
зло	n.n	exact	0240-1-06	Зло	main
зна́мение	n.n	exact	0243-1-07	Знаменіє	main
зна́мя	n.n	none			
зна́ние	n.n	exact	1028-1-12	знаніе	supplement
зва́ти	v	none			
зре́ние	n.n	exact	0244-2-11	Зрѣніе	main
зре́ти	v	exact	0244-2-12;1029-2-03	Зрѣти;Ѕрѣти	main;supplement
и	conj	exact	0245-3-01	И	main
и́бо	conj	none			
иде́же	adv/conj	exact	0247-1-03	Йдѣже	main
из	prep	none			
изба́вити	v	exact	0247-2-09	Избавити	main
избавле́ние	n.n	exact	1031-2-01	Избавленіе	supplement
избавля́ти(ся)	v	none			
избра́нный	adj/part	exact	0248-1-16	Избранный	main
изве́стный	adj	none			
израсти́ти	v	none			
изумева́ти	v	none			
